DBUID,dbpop2021,lon,lat,ONS_ID,ONS_Name,ONS_Region,rurality,num_unhealthy,num_healthy,costing,distance
35060838001,88,-75.69876341232062,45.221576311160185,3070,MANOTICK,OTTAWA,rural,54,17,auto,15
35010325004,34,-75.31963721613693,44.847594498244106,3806,South Dundas,"Stormont, Dundas and Glengarry",rural,8,3,auto,15
35010324019,35,-75.31490283126166,44.84825050459341,3806,South Dundas,"Stormont, Dundas and Glengarry",rural,8,3,auto,15
35010325003,62,-75.31826524092057,44.848489907703424,3806,South Dundas,"Stormont, Dundas and Glengarry",rural,8,3,auto,15
35010323010,65,-75.31358066840764,44.845854997745214,3806,South Dundas,"Stormont, Dundas and Glengarry",rural,8,3,auto,15
35010324018,39,-75.3177843156163,44.846023282959,3806,South Dundas,"Stormont, Dundas and Glengarry",rural,8,3,auto,15
35010323009,58,-75.31557765535068,44.843621954836664,3806,South Dundas,"Stormont, Dundas and Glengarry",rural,8,2,auto,15
35010325015,43,-75.31975136839316,44.84349398640731,3806,South Dundas,"Stormont, Dundas and Glengarry",rural,8,3,auto,15
35010301006,55,-75.22356085831994,44.97223172637837,3806,South Dundas,"Stormont, Dundas and Glengarry",rural,4,2,auto,15
35010300017,5,-75.15088897570318,44.96297927458114,3806,South Dundas,"Stormont, Dundas and Glengarry",rural,5,2,auto,15
35010330003,15,-75.36106385812818,45.00332957547444,3803,North Dundas,"Stormont, Dundas and Glengarry",rural,5,1,auto,15
35010330004,10,-75.3355702919524,44.98656773574308,3806,South Dundas,"Stormont, Dundas and Glengarry",rural,1,0,auto,15
35010301005,21,-75.24420739557901,44.975470407132875,3806,South Dundas,"Stormont, Dundas and Glengarry",rural,8,3,auto,15
35010311024,84,-75.16101981321663,44.933232796694824,3806,South Dundas,"Stormont, Dundas and Glengarry",rural,5,2,auto,15
35010302007,29,-75.24299345878109,44.97397115851055,3806,South Dundas,"Stormont, Dundas and Glengarry",rural,8,2,auto,15
35010302006,258,-75.25209319676777,44.9701054047685,3806,South Dundas,"Stormont, Dundas and Glengarry",rural,6,2,auto,15
35010330018,22,-75.37354823061108,44.97776460165983,3806,South Dundas,"Stormont, Dundas and Glengarry",rural,1,0,auto,15
35010330020,29,-75.34159353027206,44.973359198661164,3806,South Dundas,"Stormont, Dundas and Glengarry",rural,1,0,auto,15
35010330019,5,-75.34778999729775,44.98148099058205,3806,South Dundas,"Stormont, Dundas and Glengarry",rural,1,0,auto,15
35010302005,5,-75.25123463924015,44.97107319737679,3806,South Dundas,"Stormont, Dundas and Glengarry",rural,6,2,auto,15
35010330017,83,-75.37401329750558,44.957260850124285,3806,South Dundas,"Stormont, Dundas and Glengarry",rural,4,1,auto,15
35010312011,45,-75.06845380057496,45.00221741171075,3808,South Stormont,"Stormont, Dundas and Glengarry",rural,8,3,auto,15
35010311002,10,-75.09986636749461,44.99221915180163,3806,South Dundas,"Stormont, Dundas and Glengarry",rural,6,3,auto,15
35010311001,28,-75.09822927340207,44.99426746650784,3806,South Dundas,"Stormont, Dundas and Glengarry",rural,6,3,auto,15
35010312014,17,-75.05159531471388,44.98092609900462,3808,South Stormont,"Stormont, Dundas and Glengarry",rural,8,3,auto,15
35061140011,39,-75.98153735565755,45.19918165132135,3075,MUNSTER - ASHTON,OTTAWA,rural,31,13,auto,15
35061138001,58,-75.93517271063068,45.183622340916905,3075,MUNSTER - ASHTON,OTTAWA,rural,23,11,auto,15
35061128001,21,-75.70879823661932,45.15067001737224,3078,NORTH GOWER - KARS,OTTAWA,rural,31,14,auto,15
35061129001,41,-75.76199832040702,45.15618057683508,3078,NORTH GOWER - KARS,OTTAWA,rural,11,2,auto,15
35061134003,38,-75.79102289833595,45.15738147913937,3071,MARLBOROUGH,OTTAWA,rural,31,13,auto,15
35010256007,72,-74.76395734339636,45.05937307133203,3802,Cornwall,"Stormont, Dundas and Glengarry",town,14,7,auto,10
35010406014,36,-74.41143690388255,45.233227241658376,3807,South Glengarry,"Stormont, Dundas and Glengarry",rural,6,1,auto,15
35010316017,113,-74.98495071825769,44.99795472519919,3808,South Stormont,"Stormont, Dundas and Glengarry",rural,5,2,auto,15
35010316018,77,-74.98511500552006,45.000233538555705,3808,South Stormont,"Stormont, Dundas and Glengarry",rural,5,2,auto,15
35010316016,71,-74.98312830424052,44.99758154683635,3808,South Stormont,"Stormont, Dundas and Glengarry",rural,5,2,auto,15
35010316015,38,-74.98376698257228,44.99730978342577,3808,South Stormont,"Stormont, Dundas and Glengarry",rural,5,2,auto,15
35010314002,108,-74.9889983335468,44.99933348789989,3808,South Stormont,"Stormont, Dundas and Glengarry",rural,7,2,auto,15
35010314004,15,-74.99320290215896,44.997586318580645,3808,South Stormont,"Stormont, Dundas and Glengarry",rural,5,2,auto,15
35010314011,49,-74.99491896755431,44.99710547550417,3808,South Stormont,"Stormont, Dundas and Glengarry",rural,5,2,auto,15
35010314007,152,-74.99522463736349,44.99589492550688,3808,South Stormont,"Stormont, Dundas and Glengarry",rural,5,2,auto,15
35010314006,46,-74.99434400536673,44.996150485581424,3808,South Stormont,"Stormont, Dundas and Glengarry",rural,5,2,auto,15
35010316023,64,-74.9957408383533,44.99357322525261,3808,South Stormont,"Stormont, Dundas and Glengarry",rural,6,2,auto,15
35010314008,58,-74.99913053121381,44.99473910300492,3808,South Stormont,"Stormont, Dundas and Glengarry",rural,5,2,auto,15
35010399043,43,-74.50425124283827,45.14130806022641,3807,South Glengarry,"Stormont, Dundas and Glengarry",rural,6,1,auto,15
35010403018,10,-74.50055226200008,45.141125384752996,3807,South Glengarry,"Stormont, Dundas and Glengarry",rural,6,1,auto,15
35010399050,19,-74.5034763825287,45.14144148520012,3807,South Glengarry,"Stormont, Dundas and Glengarry",rural,6,1,auto,15
35010399045,39,-74.50206443007674,45.14080087595513,3807,South Glengarry,"Stormont, Dundas and Glengarry",rural,6,1,auto,15
35010399046,61,-74.50141596242649,45.140022113433126,3807,South Glengarry,"Stormont, Dundas and Glengarry",rural,6,1,auto,15
35010399047,22,-74.50365162770134,45.13842941092575,3807,South Glengarry,"Stormont, Dundas and Glengarry",rural,6,1,auto,15
35010399044,28,-74.50320884313567,45.13912606285731,3807,South Glengarry,"Stormont, Dundas and Glengarry",rural,6,1,auto,15
35010399048,10,-74.5033077113315,45.13907441593406,3807,South Glengarry,"Stormont, Dundas and Glengarry",rural,6,1,auto,15
35010355006,70,-74.81963647532822,45.185536567970225,3805,North Stormont,"Stormont, Dundas and Glengarry",rural,2,0,auto,15
35010355005,64,-74.82966572499022,45.192562290107375,3805,North Stormont,"Stormont, Dundas and Glengarry",rural,2,0,auto,15
35010355010,71,-74.8687235809477,45.19891594016772,3805,North Stormont,"Stormont, Dundas and Glengarry",rural,4,0,auto,15
35010167004,28,-74.72402654964644,45.171541510801454,3807,South Glengarry,"Stormont, Dundas and Glengarry",rural,1,0,auto,15
35010403013,27,-74.49934911360678,45.14378878570353,3807,South Glengarry,"Stormont, Dundas and Glengarry",rural,6,1,auto,15
35010403023,5,-74.49560051075639,45.14148916213173,3807,South Glengarry,"Stormont, Dundas and Glengarry",rural,6,1,auto,15
35010403015,10,-74.49929761985322,45.14236665665562,3807,South Glengarry,"Stormont, Dundas and Glengarry",rural,6,1,auto,15
35010403019,15,-74.49886334228134,45.14181216105673,3807,South Glengarry,"Stormont, Dundas and Glengarry",rural,6,1,auto,15
35010403017,10,-74.49969248013532,45.141485087572185,3807,South Glengarry,"Stormont, Dundas and Glengarry",rural,6,1,auto,15
35010265002,217,-74.71081098488939,45.03358152920704,3802,Cornwall,"Stormont, Dundas and Glengarry",town,14,7,auto,10
35010184003,32,-74.69710234565366,45.031256705901185,3802,Cornwall,"Stormont, Dundas and Glengarry",town,14,7,auto,10
35010371001,225,-74.75121916166758,45.041174772436015,3802,Cornwall,"Stormont, Dundas and Glengarry",town,14,7,auto,10
35010186001,103,-74.70313709578784,45.03178761300716,3802,Cornwall,"Stormont, Dundas and Glengarry",town,14,7,auto,10
35010281008,15,-74.97427654727932,45.07660032586382,3808,South Stormont,"Stormont, Dundas and Glengarry",rural,8,1,auto,15
35010264001,47,-74.71175271456997,45.0340967986592,3802,Cornwall,"Stormont, Dundas and Glengarry",town,14,7,auto,10
35010279002,75,-74.93915781573028,45.06059353133581,3808,South Stormont,"Stormont, Dundas and Glengarry",rural,6,1,auto,15
35010261004,53,-74.72444334373726,45.03682370134254,3802,Cornwall,"Stormont, Dundas and Glengarry",town,14,7,auto,10
35010218001,40,-74.74087833799719,45.03983754375495,3802,Cornwall,"Stormont, Dundas and Glengarry",town,14,7,auto,10
35010218005,64,-74.74259171683617,45.04074866988798,3802,Cornwall,"Stormont, Dundas and Glengarry",town,14,7,auto,10
35010374004,25,-74.69216833577968,45.030253433252305,3802,Cornwall,"Stormont, Dundas and Glengarry",town,14,7,auto,10
35010218003,48,-74.74039179617624,45.0392632978879,3802,Cornwall,"Stormont, Dundas and Glengarry",town,14,7,auto,10
35010281007,61,-74.98726520284711,45.069371347248655,3808,South Stormont,"Stormont, Dundas and Glengarry",rural,4,0,auto,15
35010262004,46,-74.72222588756523,45.03562202675028,3802,Cornwall,"Stormont, Dundas and Glengarry",town,14,7,auto,10
35010265003,46,-74.7107434708619,45.03360947128735,3802,Cornwall,"Stormont, Dundas and Glengarry",town,14,7,auto,10
35010372002,89,-74.75007410015657,45.04028170414315,3802,Cornwall,"Stormont, Dundas and Glengarry",town,14,7,auto,10
35010372003,119,-74.74945442010609,45.03937631095824,3802,Cornwall,"Stormont, Dundas and Glengarry",town,14,7,auto,10
35010189001,64,-74.69219247661505,45.028564184999865,3802,Cornwall,"Stormont, Dundas and Glengarry",town,14,7,auto,10
35010263002,78,-74.71495405107588,45.03324756918434,3802,Cornwall,"Stormont, Dundas and Glengarry",town,14,7,auto,10
35010264004,232,-74.71111040918771,45.02957520880681,3802,Cornwall,"Stormont, Dundas and Glengarry",town,14,7,auto,10
35010216003,88,-74.73641051672364,45.03723740019498,3802,Cornwall,"Stormont, Dundas and Glengarry",town,14,7,auto,10
35010372001,82,-74.75118690750055,45.04117470583759,3802,Cornwall,"Stormont, Dundas and Glengarry",town,14,7,auto,10
35010184004,54,-74.69441511824219,45.029677599305565,3802,Cornwall,"Stormont, Dundas and Glengarry",town,14,7,auto,10
35010261005,47,-74.72398742748574,45.03489478586448,3802,Cornwall,"Stormont, Dundas and Glengarry",town,14,7,auto,10
35010216002,64,-74.73803312801489,45.03764110881897,3802,Cornwall,"Stormont, Dundas and Glengarry",town,14,7,auto,10
35010218007,40,-74.74564095074224,45.03905016418345,3802,Cornwall,"Stormont, Dundas and Glengarry",town,14,7,auto,10
35010240005,59,-74.74267636420495,45.018256526710154,3802,Cornwall,"Stormont, Dundas and Glengarry",town,14,7,auto,10
35010239005,63,-74.73599384603266,45.01621149719236,3802,Cornwall,"Stormont, Dundas and Glengarry",town,14,7,auto,10
35010240003,41,-74.74086287370989,45.01743919774746,3802,Cornwall,"Stormont, Dundas and Glengarry",town,14,7,auto,10
